,date,has_setlist,name,tour,venue
1752,21-11-2015,True,Anti‐Flag,American Spring,Club Teatr'
1753,21-11-2015,False,The Homeless Gospel Choir,No Tour Assigned,Club Teatr'
1754,20-11-2015,True,Poets of the Fall,Jealous Gods Tour,Ray Just Arena
1755,20-11-2015,True,Dolphin,No Tour Assigned,Yotaspace
1756,19-11-2015,True,Zorge,No Tour Assigned,Yotaspace
1757,19-11-2015,True,Optimystica Orchestra,No Tour Assigned,Yotaspace
1758,19-11-2015,True,Tequilajazzz,No Tour Assigned,Yotaspace
1759,19-11-2015,True,Ledokol T.,"""Zatmenie Dobra"" tour",Schwein Club
1760,10-02-2018,True,BondarevMIC,15,Vidnoe
1761,09-02-2018,True,Electric Six,No Tour Assigned,Club Teatr'
1762,09-02-2018,True,Lacrimas Profundere,No Tour Assigned,Club Gorod
1763,06-02-2018,True,Ledokol T.,"""Ledokol T."" tour",Acoustic Flat Concert
1764,04-02-2018,False,Flynotes,No Tour Assigned,Club Gorod
1765,04-02-2018,False,Kadavar,Rough Times,Club Gorod
1766,04-02-2018,False,The OMY,No Tour Assigned,Club Gorod
1767,03-02-2018,True,Kerbera,No Tour Assigned,GlavClub
1768,03-02-2018,True,Falling in Reverse,No Tour Assigned,GlavClub
1769,03-02-2018,True,Diary of Dreams,No Tour Assigned,Club Teatr'
1770,02-02-2018,False,TT-34,No Tour Assigned,LES
1771,31-01-2018,True,Doogie White,No Tour Assigned,Crocus City Hall
1772,31-01-2018,True,Tony Carey,No Tour Assigned,Crocus City Hall
1773,28-01-2018,True,Satyricon,No Tour Assigned,RED
1774,27-01-2018,True,Rage,Seasons of the Black,GlavClub
1775,26-01-2018,True,BondarevMIC,15,Vidnoe
1776,25-01-2018,True,Bones,DeadBoy Tour 2018,GlavClub
1777,25-01-2018,True,Ledokol T.,"""Ledokol T."" tour",Schwein Club
1778,24-01-2018,False,Keys And Promises,No Tour Assigned,Svoboda Club
1779,24-01-2018,False,That 1 Guy,Transmitting Straight from the Buttnoggin - 2018 North American Tour,John's Alley
1780,26-02-2014,True,Backstreet Boys,In A World Like This Tour,Crocus City Hall
1781,25-02-2014,True,Adaen,No Tour Assigned,Mezzo-forte
1782,24-02-2014,False,Kitaro,No Tour Assigned,Crocus City Hall
1783,23-02-2014,True,Grizzly Knows No Remorse,No Tour Assigned,Glastonberry Pub
1784,23-02-2014,True,Cult of Luna,Vertikal,Volta Club
1785,23-02-2014,True,Solar Deity,No Tour Assigned,Glastonberry Pub
1786,23-02-2014,False,Solar Fake,No Tour Assigned,Rock House
1787,22-02-2014,False,Ricardo Villalobos,No Tour Assigned,Arma 17
1788,22-02-2014,True,Steel Panther,Spreading the Disease (STD) Tour,Club Teatr'
1789,22-02-2014,False,Blockheads,No Tour Assigned,Mona Club
1790,22-02-2014,False,Gutalax,No Tour Assigned,Mona Club
1791,22-02-2014,False,r.roo,No Tour Assigned,China-Town-Cafe
1792,22-02-2014,False,Eden Synthetic Corps,No Tour Assigned,Rock House
1793,22-02-2014,True,Anacondaz,No Tour Assigned,GlavClub
1794,22-02-2014,True,Dolphin,No Tour Assigned,Izvestiya Hall
1795,21-02-2014,False,Yat-Kha,No Tour Assigned,Centralnyi Dom Hudozhnika
1796,21-02-2014,True,Misfits,No Tour Assigned,Arena Moscow
1797,21-02-2014,False,Kerosin,No Tour Assigned,Arena Moscow
1798,20-02-2014,True,The Grand Astoria,No Tour Assigned,Grand Bourbon Street
1799,18-02-2014,True,Exumer,European Frost and Fire Tour 2014,Volta Club
1800,14-03-2018,True,Mireille Mathieu,No Tour Assigned,Kremlin Palace
1801,13-03-2018,True,Ledokol T.,"""Ledokol T."" tour",Acoustic Flat Concert
1802,12-03-2018,True,Evanescence,Synthesis Live,Crocus City Hall
1803,11-03-2018,False,Mikelangelo Loconte & Florent Mothe,No Tour Assigned,Moscow Museum
1804,11-03-2018,False,Zdob și Zdub,No Tour Assigned,Arbat Hall
1805,11-03-2018,True,Wintersun,The Forest Seasons,ZIL ARENA
1806,10-03-2018,True,Europe,No Tour Assigned,Kremlin Palace
1807,10-03-2018,True,Selofan,No Tour Assigned,Shagi
1808,10-03-2018,True,Rod Stewart,No Tour Assigned,Kremlin Palace
1809,09-03-2018,False,VLNY,No Tour Assigned,16 Tons
1810,09-03-2018,True,Cradle of Filth,Cryptoriana World Tour,RED
1811,09-03-2018,False,The Underground Youth,No Tour Assigned,Sady Babilona
1812,08-03-2018,True,ALEKSEEV,No Tour Assigned,Radio City
1813,08-03-2018,True,Therr Maitz,No Tour Assigned,Stadium Live
1814,07-03-2018,True,Valentin Strykalo,No Tour Assigned,Izvestiya Hall
1815,07-03-2018,True,Prāta Vētra,No Tour Assigned,16 Tons
1816,07-03-2018,True,Ledokol T.,"""Ledokol T."" tour",Club Gorod
1817,06-03-2018,False,Poshlaya Molli,No Tour Assigned,GlavClub
1818,04-03-2018,True,Anacondaz,No Tour Assigned,Club Gorod
1819,04-03-2018,True,Black Label Society,The Grimmest Show On Earth Tour,GlavClub
1820,24-01-1989,False,Yngwie J. Malmsteen,Odyssey,Dvorets Sporta Luzhniki
